osmid,y,x,street_count,highway,ref,junction,railway,geometry
661328,53.3663739,-6.1736645,3,,,,,POINT (-6.1736645 53.3663739)
661392,53.3798587,-6.1783106,3,,,,,POINT (-6.1783106 53.3798587)
661455,53.374817,-6.1975958,3,,,,,POINT (-6.1975958 53.374817)
661456,53.3744588,-6.1986694,3,,,,,POINT (-6.1986694 53.3744588)
661457,53.3728354,-6.2019453,4,,,,,POINT (-6.2019453 53.3728354)
661474,53.3643593,-6.2298176,3,,,,,POINT (-6.2298176 53.3643593)
661497,53.3586224,-6.1899089,3,,,,,POINT (-6.1899089 53.3586224)
661972,53.3318895,-6.2143437,3,,,,,POINT (-6.2143437 53.3318895)
661983,53.2770924,-6.1033533,3,,,,,POINT (-6.1033533 53.2770924)
661987,53.2788351,-6.1079482,3,,,,,POINT (-6.1079482 53.2788351)
661988,53.2787019,-6.106972,3,,,,,POINT (-6.106972 53.2787019)
662007,53.2886453,-6.1277279,3,,,,,POINT (-6.1277279 53.2886453)
662010,53.2922761,-6.1360238,3,traffic_signals,,,,POINT (-6.1360238 53.2922761)
662030,53.2945704,-6.1477064,3,,,,,POINT (-6.1477064 53.2945704)
662031,53.2941444,-6.1489852,4,,,,,POINT (-6.1489852 53.2941444)
662069,53.3009613,-6.177039,4,traffic_signals,,,,POINT (-6.177039 53.3009613)
662080,53.3005254,-6.1765884,3,,,,,POINT (-6.1765884 53.3005254)
662179,53.3376736,-6.2405988,4,,,,,POINT (-6.2405988 53.3376736)
662184,53.3392075,-6.2452282,3,,,,,POINT (-6.2452282 53.3392075)
665765,53.3289946,-6.2306812,3,,,,,POINT (-6.2306812 53.3289946)
665776,53.3205948,-6.245079,3,,,,,POINT (-6.245079 53.3205948)
665777,53.3185992,-6.2421097,4,,,,,POINT (-6.2421097 53.3185992)
665785,53.3211222,-6.2363069,1,,,,,POINT (-6.2363069 53.3211222)
665794,53.3248213,-6.2538887,4,,,,,POINT (-6.2538887 53.3248213)
665818,53.3252563,-6.2548228,3,,,,,POINT (-6.2548228 53.3252563)
665849,53.3219778,-6.2595458,3,,,,,POINT (-6.2595458 53.3219778)
665856,53.3208046,-6.2595365,4,traffic_signals,,,,POINT (-6.2595365 53.3208046)
665860,53.3201988,-6.2595654,3,,,,,POINT (-6.2595654 53.3201988)
665862,53.3184294,-6.2593812,3,,,,,POINT (-6.2593812 53.3184294)
665863,53.3174719,-6.2589411,3,,,,,POINT (-6.2589411 53.3174719)
666306,53.3187985,-6.3656549,4,,,,,POINT (-6.3656549 53.3187985)
666307,53.3191098,-6.3648311,3,,,,,POINT (-6.3648311 53.3191098)
666320,53.3289891,-6.3342821,4,,,,,POINT (-6.3342821 53.3289891)
666331,53.3402647,-6.3157507,3,,,,,POINT (-6.3157507 53.3402647)
666333,53.3211075,-6.2540705,4,,,,,POINT (-6.2540705 53.3211075)
666337,53.3211201,-6.2529856,4,,,,,POINT (-6.2529856 53.3211201)
666339,53.3234386,-6.252823,3,,,,,POINT (-6.252823 53.3234386)
666342,53.3406867,-6.3063052,3,,,,,POINT (-6.3063052 53.3406867)
666347,53.343011,-6.3214771,4,,,,,POINT (-6.3214771 53.343011)
666349,53.3427983,-6.3188197,3,,,,,POINT (-6.3188197 53.3427983)
666354,53.3435322,-6.3068362,3,,,,,POINT (-6.3068362 53.3435322)
